Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,,
Lamiaceae or Labiatae,Rosmarinus,officinalis,Rosemary,medium,[],to,1.5,evergreen,"Needle-like, aromatic, evergreen, 1-2 inches long, dark green on top and silvery underneath",March to October,August to October,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']","['drought', 'maritime exposure']","Dry scrub and rocky places, especially near the sea[50, 132].",S. Europe to W. Asia.,(3 of 5),(3 of 5),(4 of 5),,
Lamiaceae or Labiatae,Salvia,elegans,"Pineapple Sage, Pineapple-scented Sage,",medium,[],to,1,evergreen,"Ovate, serrated, aromatic, bright green",March to May.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, deer-resistant","Large naturalized clumps are found at woodland peripheries in the Sierra Madre from 6,000 to 9,000 feet in elevation.",Southern N. America - Mexico to Guatemala.,(3 of 5),(1 of 5),(2 of 5),,
Lamiaceae or Labiatae,Salvia,fruticosa,"Greek Sage, Greek oregano",medium,"[8, 9, 10]",to,1,evergreen,"Lanceolate, aromatic, gray-green","Blue to violet, tubular, arranged in whorls",Late spring to early summer,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant, poor soil",Dry rocky hillsides[148].,Europe - C. and E. Mediterranean.,(2 of 5),(3 of 5),(2 of 5),,
Lamiaceae or Labiatae,Salvia,microphylla,Blackcurrant Sage,medium,"[8, 9, 10]",to,1,evergreen,"Aromatic, ovate, dark green",August to October.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant",Not known,Southern N. America - Mexico to Guatemala.,(2 of 5),(2 of 5),(0 of 5),,
Lamiaceae or Labiatae,Salvia,officinalis,"Sage, Kitchen sage, Small Leaf Sage, Garden  Sage",medium,[],to,0.6,evergreen,"Lanceolate, gray-green, aromatic, 2-4 inches long",June to August,August to September,hermaphrodite,"['light', 'medium']",neutral and basic (mildly alkaline) soils and can grow in very alkaline,"[' well-drained soil. Suitable pH: neutral', 'dry or  moist soil']",['drought'],"Dry banks and stony places[100], usually in limestone areas and often where there is very little soil[4].",S. Europe.,(4 of 5),(5 of 5),(5 of 5),,
Lamiaceae or Labiatae,Salvia,apiana,"White Sage, Compact white sage",medium,"[8, 9, 10, 11]",3,2-3 feet,PERENNIAL,"Lanceolate, gray-green, aromatic",April to July.,Late spring to early summer,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, deer-resistant",Dry benches and slopes below 1500 metres[71].,South-western N. America - California.,(3 of 5),(1 of 5),(2 of 5),,
Lamiaceae or Labiatae,Salvia,columbariae,"Chia,  Ziegler's sage",medium,"[6, 7, 8, 9]",0.7,0.5,ANNUAL/PERENNIAL,"Lanceolate, green, with a slightly hairy texture",July to September,August to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Dry open places below 1200 metres[92].,South-western N. America - California.,(3 of 5),(2 of 5),(0 of 5),,
Lamiaceae or Labiatae,Salvia,hispanica,"Mexican Chia, Chia",medium,"[8, 9, 10, 11]",1,1-3 feet,ANNUAL,"Lanceolate, green, 3-10 cm long",July to August.,90-120 days after planting,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, poor soil conditions",Not known,Southern N. America - C. Mexico.,(3 of 5),(0 of 5),(0 of 5),,
Lamiaceae or Labiatae,Salvia,sclarea,"Clary, Europe sage, Clary Sage",medium,"[5, 6, 7, 8, 9]",1,0.6,BIENNIAL/PERENNIAL,"Broadly ovate, grey-green, and slightly hairy with a toothed margin",August,September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, prefers well-drained soil, and can tolerate poor soil conditions","Rocky igneous slopes, mixed deciduous and coniferous woodland, shale banks and roadsides to 2000 metres in Turkey[93].",Southern Europe to Syria.,(2 of 5),(2 of 5),(3 of 5),,
Lamiaceae,Satureja,hortensis,Summer Savory,medium,"[5, 6, 7, 8, 9]",0.3,0.4,ANNUAL,"Lanceolate, aromatic, dark green",July to August,August to September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Dry gravelly and stony slopes to 1500 metres[74].,S.E. Europe to W. Asia.,(3 of 5),(2 of 5),(3 of 5),,
Lamiaceae or Labiatae,Satureja,montana,Winter Savory,medium,[],to,0.3,evergreen,"Linear to lanceolate, aromatic, dark green, 1-3 cm long",July to October,August to October,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil', 'dry or  moist soil']",['drought'],"Old walls, dry banks and rocks on hillsides, usually on calcareous soils[17, 100].",S. Europe to N. Africa. Occasionally naturalized in Britain.,(4 of 5),(3 of 5),(4 of 5),,
Lamiaceae or Labiatae,Thymus,capitatus,"Headed Savory, Thymus",medium,"[6, 7, 8, 9]",to,0.3,evergreen,"Small, oval, aromatic, green to gray-green",July to September.,Late summer to early fall,hermaphrodite,"['light', 'medium']",neutral and basic (mildly alkaline),[' well-drained soil. Suitable pH: neutral'],"Drought-tolerant, poor soil, heat","Dry, usually calcareous soils[45, 50].",Europe - Mediterranean.,(2 of 5),(2 of 5),(2 of 5),,
Lamiaceae or Labiatae,Thymus,herba-barona,Caraway Thyme,slow,[],to,0.3,evergreen,"Small, narrow, aromatic, green to gray-green leaves",July to August.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Not known,S. Europe - Mediterranean in Sardinia and Corsica.,(3 of 5),(2 of 5),(4 of 5),,
Lamiaceae or Labiatae,Thymus,pannonicus,Eurasian thyme,medium,"[4, 5, 6, 7, 8]",0.2,12-18 inches (30-45 cm),PERENNIAL,"Small, oval, and aromatic, typically 0.2-0.4 inches (5-10 mm) long","Small, tubular, pink to purple flowers, blooming in clusters",Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],Not known,S.W. and C. Europe.,(2 of 5),(2 of 5),(2 of 5),,
Lamiaceae or Labiatae,Thymus,pulegioides,"Broad-Leaved Thyme, lemon thyme",medium,"[4, 5, 6, 7, 8]",to,12-18 inches (30-45 cm),evergreen,"Oval, green, aromatic, 1-2 inches long",July to August.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry grassland, usually on calcareous soils[11].","Europe, including Britain, from Scandanavia south and east to Spain, Serbia and Bulgaria.",(2 of 5),(2 of 5),(2 of 5),,
Lamiaceae or Labiatae,Lavandula,angustifolia,"English Lavender, True Lavender",slow,"[5, 6, 7, 8]",to,1,evergreen,"Lanceolate, gray-green, aromatic, 2-6 cm long, with a smooth edge.",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline and saline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']","['drought', 'maritime exposure']","Dry grassy slopes amongst rocks[9], in exposed, usually parched, hot rocky situations often on calcareous soils[200].",Europe - Mediterranean.,(2 of 5),(3 of 5),(5 of 5),,
Lamiaceae or Labiatae,Lavandula,dentata,,medium,"[8, 9, 10]",to,1,evergreen,"Lanceolate, gray-green, aromatic",July to August.,N/A (Lavandula dentata is primarily grown for its foliage and flowers rather than fruit),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Arid regions, thickets, open woods, rocks on clay and siliceous soils[89].",Europe - W. Mediterranean to W. Asia.,(0 of 5),(1 of 5),(3 of 5),,
Lamiaceae or Labiatae,Lavandula,latifolia,"Spike Lavender, Broadleaved lavender",medium,"[6, 7, 8, 9]",to,2-3 feet (60-90 cm),evergreen,"Linear to lanceolate, gray-green, 1-3 inches long","Purple to violet spikes, 1-2 inches long, blooming in summer",Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']","['drought', 'maritime exposure']","Arid hillsides, especially on limestone[184].",Europe - W. Mediterranean.,(2 of 5),(2 of 5),(5 of 5),,
Lamiaceae or Labiatae,Lavandula,stoechas,French Lavender,medium,"[7, 8, 9]",to,0.8,evergreen,"Linear, narrow, and aromatic, typically gray-green in color",May to August,July to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry hills, garigue and open woods on limestone and granite soils[89].",S.W. Europe.,(0 of 5),(2 of 5),(4 of 5),,
Lamiaceae or Labiatae,Ocimum,basilicum,"Sweet Basil, Common Basil, Thai Basil, Tropical Basil",fast,[],0.5,0.3,PERENNIAL,"Ovate, glossy green, aromatic",August to September,September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant once established, prefers well-drained soil","Long cultivated, its original habitat is obscure[132].",Tropical Asia?,(4 of 5),(3 of 5),(2 of 5),,
Lamiaceae or Labiatae,Scutellaria,baicalensis,Baikal Skullcap - Huang-Qin,medium,"[4, 5, 6, 7, 8]",0.3,0.3,PERENNIAL,"Lanceolate, dark green, with a slightly serrated margin",August,September,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Sandy and rocky places near the sea shore. Sunny, grassy slopes and waste ground from 100 - 2,000 metres above sea level[254].","E. Asia - China, Japan, Korea, Mongolia.",(1 of 5),(3 of 5),(0 of 5),,
Lamiaceae or Labiatae,Scutellaria,galericulata,"Common Skullcap, Marsh skullcap",medium,"[4, 5, 6, 7, 8]",0.5,12-24 inches (30-60 cm),PERENNIAL,"Lanceolate, 2-4 inches long, serrated margins",June to September,July to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Wet soil, partial shade, drought (once established)","Moist acid or calcareous soils on the edges of streams, in water meadows and fens, ascending to 360 metres in Britain[4, 17].","Europe, including Britain, south and east from Scandanavia to Spain, north and west Asia.",(0 of 5),(3 of 5),(0 of 5),,
Lamiaceae or Labiatae,Scutellaria,lateriflora,"Virginian Skullcap, Blue skullcap",medium,"[6, 7, 8, 9]",0.6,0.4,PERENNIAL,"Opposite, lanceolate, serrated margins, dark green",June to August,July to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],"Drought-tolerant, partial shade, well-drained soil","Alluvial thickets, meadows and swampy woods[43].","N. America - Newfoundland to British Columbia, south to Florida and Ontario.",(0 of 5),(3 of 5),(2 of 5),,
Lamiaceae or Labiatae,Stachys,affinis,"Chinese Artichoke, Artichoke betony",medium,"[4, 5, 6, 7, 8]",0.5,12-24 inches (30-60 cm),PERENNIAL,May to November,July to August.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Wet and submersed areas; 0-3200 m. Gansu, Hebei, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Xinjiang[266]","E. Asia - China, Japan.",(4 of 5),(1 of 5),(0 of 5),,
Verbenaceae,Vitex,agnus-castus,"Agnus Castus, Lilac chastetree, Vitex, Chastetree",medium,"[7, 8, 9]",3,3,deciduous,June to October,September to October.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],"Drought-tolerant, tolerant of poor soil, moderate salt tolerance",Damp places by streams and on the littoral[45].,S. Europe.,(2 of 5),(5 of 5),(3 of 5),,
Verbenaceae,Vitex,negundo,"Huang Ping, Chinese chastetree, Cut Leaf Vitex, Cut-leaf Chastetree",medium,"[6, 7, 8, 9]",3,3,deciduous,"Pinnately compound, 5-7 leaflets, lanceolate to ovate, dark green",September to October.,Late summer to early fall,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)",[' well-drained soil'],"Drought-tolerant, tolerates poor soil, moderate salt tolerance",Wasteland up to 2000 metres in the Himalayas[51]. Mixed thickets on mountain slopes at elevations of 200 - 1400 metres in China[266].,E. Asia - Southwest China to the Himalayas.,(2 of 5),(3 of 5),(2 of 5),,
Oleaceae,Jasminum,humile,Yellow Jasmine,medium,"[7, 8, 9, 10]",to,3,evergreen,"Evergreen, lanceolate, dark green",July to August.,N/A (as this plant is primarily grown for its flowers),hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil","Scrub and dry valleys, 1500 - 3000 metres in the Himalayas[184]. Also found in forests in Srinagar[145].",E. Asia - China to the Himalayas.,(1 of 5),(1 of 5),(2 of 5),,
Oleaceae,Jasminum,officinale,"Jessamine, Poet's jasmine",fast,"[6, 7, 8, 9]",10,10,deciduous,"Pinnate, dark green, glossy, lanceolate, 5-9 leaflets",June to September.,"Flowers bloom in late spring to summer, fruits ripen in late summer to fall",hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant once established, tolerates light shade, prefers well-drained soil","Shrubberies and forests, usually on humus-rich soils, 1200 - 3000 metres in the Himalayas[51, 145]. Valleys, ravines, thickets, woods, along rivers, meadows; 1800 - 4000 metres in W. China[266].",W. Asia to E. Asia.,(2 of 5),(2 of 5),(2 of 5),,
Oleaceae,Ligustrum,lucidum,"Chinese Privet, Glossy privet, White Wax Tree, Tree  Ligustrum",medium,[],to,3,evergreen,"Opposite, glossy, lanceolate to ovate, 2-6 cm long, dark green",August to September,September to October,hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[],['atmospheric pollution'],Roadsides and in river valleys[109]. Woods below 2900 metres[266].,E. Asia - China.,(1 of 5),(3 of 5),(3 of 5),,
Oleaceae,Olea,europaea,"Olive, African olive,  European olive",slow,[],to,8,evergreen,"Lanceolate, glossy green, 2-4 inches long",August to September.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil', 'dry or  moist soil']",['drought'],Woods and scrub in dry rocky places[50].,S. Europe - Mediterranean.,(4 of 5),(3 of 5),(4 of 5),,
Pedaliaceae,Sesamum,indicum,Sesame,medium,"[1, 2]",1,0.5,ANNUAL,"Broad, ovate, dark green",July.,90-150 days after planting,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant, moderately saline soils",Not known in a truly wild situation.,Not known but possibly northeast Africa or India.,(3 of 5),(3 of 5),(4 of 5),,
Plantaginaceae,Plantago,coronopus,Buck's-Horn Plantain,medium,"[5, 6, 7, 8, 9]",0.3,0.3,ANNUAL/PERENNIAL,"Narrow, lanceolate leaves, often with a rosette arrangement, typically 5-15 cm long",May to July,July to August,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Sandy or gravelly soils and cracks in rocks, in sunny places in dry soils usually near the sea[4, 17].","Coasts of west and south Europe, including Britain, south and east from Sweden to N. Africa, W. Asia",(3 of 5),(2 of 5),(2 of 5),,
Plantaginaceae,Plantago,lanceolata,"Ribwort Plantain, Narrowleaf plantain",medium,"[5, 6, 7, 8, 9]",0.5,0.2,PERENNIAL,"Lanceolate, elongated, and narrow with a smooth margin and prominent parallel veins.",April to August,June to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[' well-drained soil'],['maritime exposure'],"Grassland, roadsides etc, a common weed of lawns and cultivated ground, on neutral and basic soils[9, 17].","Europe, including Britain, from Iceland south and east to Spain, northern and central Asia.",(2 of 5),(3 of 5),(3 of 5),,
Plantaginaceae,Plantago,major,"Common Plantain, Cart Track Plant,White Man's Foot ,Plantain",medium,[],0.1,0.1,PERENNIAL,"Broad, ovate to lanceolate, with a smooth or slightly wavy margin, typically 5-25 cm long and 2-10 cm wide, arranged in a rosette at the base.",May to September,July to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"A common garden weed, particularly in lawns[1, 4, 13]. Rarely in grassy places[17].","Most of Europe, including Britain, to northern and central Asia.",(2 of 5),(3 of 5),(3 of 5),,
Plantaginaceae,Plantago,maritima,"Sea Plantain, Goose tongue, California goose tongue",medium,"[5, 6, 7, 8, 9]",0.2,0.2,PERENNIAL,"Lanceolate, smooth margins, green to gray-green in color, up to 30 cm long",June to August,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in saline","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Short turf in salt marshes near the sea and by streams in mountains, usually in saline or wet soils[17].","Western Europe, including Britain, from Scandanavia south and east to Spain, Hungary and Russia.",(3 of 5),(2 of 5),(2 of 5),,
Verbenaceae,Aloysia,citriodora,"Lemon Verbena, Lemon beebrush",medium,[],3,3,deciduous,May to November,August,September to October,hermaphrodite,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, Heat-tolerant",Fields and roadsides[238]. Open scrub[260].,"S. America - Argentina, Chile, Peru, Uruguay. Locally naturalized in the Mediterranean[50].",(4 of 5),(3 of 5),(3 of 5),,
Verbenaceae,Verbena,officinalis,"Vervain, Herb of the cross, Prostrate verbena",medium,"[4, 5, 6, 7, 8]",0.6,0.5,PERENNIAL,April to October,July to September,August to September,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, Poor soil, Full sun","Waste ground and roadsides, avoiding acid soils and shady positions[4, 7, 17].","Europe, including Britain, from Denmark south and east to N. Africa, W. Asia to the Himalayas.",(1 of 5),(3 of 5),(0 of 5),,
Convolvulaceae,Ipomoea,batatas,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",fast,"[1, 2]",to,12-18 inches (30-45 cm),PERENNIAL,"Heart-shaped, glossy green leaves","Funnel-shaped, typically purple or white flowers",90-120 days after planting,hermaphrodite,"['light', 'medium']",mildly acid and neutral,[' well-drained soil. Suitable pH: mildly acid'],"Drought-tolerant, tolerant of poor soil conditions","Derived in cultivation, probably from Ipomoea trifida, this species is not known in a truly wild situation.",Pantropical.,(5 of 5),(0 of 5),(3 of 5),,
Convolvulaceae,Ipomoea,pandurata,"Wild Potato Vine, Man of the earth",fast,"[6, 7, 8, 9]",to,2-4 feet,PERENNIAL,"Heart-shaped, 3-6 inches long",June to August.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Fields, hedgerows and roadsides in dry open or partially shaded areas[43, 62].","Eastern N. America - Connecticut to Florida, west to Texas, Kansas and Michigan.",(3 of 5),(2 of 5),(2 of 5),,
Solanaceae,Nicotiana,alata,"Tobacco, Jasmine tobacco, Nicotiana, Jasmine Tobacco, Ornamental Tobacco, Flowering  Tobacco",slow,"[6, 7, 8, 9]",0.6,0.3,PERENNIAL,"Lanceolate, dark green, and slightly sticky with a smooth margin",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, moderately tolerant to poor soil conditions, and sensitive to frost",Not known,S. America - S. Brazil to N. Argentina. Locally naturalized in C. Europe.,(0 of 5),(0 of 5),(3 of 5),,
Solanaceae,Nicotiana,glauca,Tree Tobacco,medium,"[9, 10, 11]",to,3,evergreen,"Lanceolate, up to 12 inches long, gray-green in color",August to October,September to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Rocks, walls and roadsides in the Mediterranean[50].",S. America - S. Bolivia to N. Argentina. Naturalized in the Mediterranean.,(1 of 5),(2 of 5),(3 of 5),,
Solanaceae,Nicotiana,rustica,"Wild Tobacco, Aztec tobacco",fast,"[10, 11]",1.5,2-3 feet,ANNUAL,"Large, ovate, and hairy",July to September.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerant of poor soil conditions","The original habitat is obscure. Plants are naturalized in Eastern N. America where they grow in waste places, open areas etc[192].",S. America - Ecuador to Bolivia.,(0 of 5),(2 of 5),(3 of 5),,
Solanaceae,Nicotiana,tabacum,"Tobacco, Cultivated tobacco",medium,"[6, 7, 8, 9, 10]",1.2,2-4 feet,ANNUAL,"Large, ovate, and hairy",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerant of poor soils",Not known in a truly wild situation.,S. America. Naturalized in C. and S. Europe.,(2 of 5),(2 of 5),(3 of 5),,
Solanaceae,Capsicum,annuum,"Sweet Pepper,  Cayenne Pepper, Chili Pepper, Christmas Pepper,  Red Pepper, Ornamental Chili  Pepper",medium,[1],to,1,evergreen,"Lanceolate, glossy green, 4-10 cm long",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant, moderately frost-sensitive",Not known in the wild.,"Probably native of the Tropics, but the original habitat is obscure.",(4 of 5),(3 of 5),(2 of 5),,
Solanaceae,Capsicum,baccatum,"Locoto,  Aji",medium,"[9, 10, 11]",2,1,PERENNIAL,"Lanceolate, glossy green",August to September.,70-90 days after planting,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant",Not known,S. America - Ecuador and the Andes,(3 of 5),(3 of 5),(1 of 5),,
Solanaceae,Capsicum,frutescens,"Tabasco Pepper,  Cayenne pepper",fast,"[9, 10, 11]",1,0.6,PERENNIAL,"Lanceolate, glossy green",August to September.,70-90 days after planting,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, heat-tolerant",Not known in the wild.,"Probably native of the Tropics, but the original habitat is obscure.",(3 of 5),(4 of 5),(1 of 5),,
Solanaceae,Capsicum,pubescens,"Tree Pepper, Rocoto",medium,"[9, 10, 11]",3,2,PERENNIAL,"Dark green, ovate, and hairy",August to September.,75-90 days after planting,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions",Not known,S. America - Andes.,(3 of 5),(3 of 5),(1 of 5),,
Solanaceae,Physalis,heterophylla,"Clammy Ground Cherry, Rowell's groundcherry",medium,"[5, 6, 7, 8, 9, 10]",0.9,1,PERENNIAL,"Ovate to lanceolate, hairy, and irregularly lobed",July to September.,Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Dry open woods[43]. Rich soils, especially where the surface has been disturbed[235].","N. America - New Brunswick to Saskatchewan, Florida, Colorado and Texas.",(3 of 5),(1 of 5),(0 of 5),,
Solanaceae,Physalis,peruviana,"Goldenberry, Peruvian groundcherry",medium,"[1, 2]",1.2,1-3 feet (30-90 cm),PERENNIAL,"Ovate, 2-5 inches long, serrated edges, dark green",July to October,August to November,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline",[' well-drained soil'],"Drought-tolerant, tolerates poor soil conditions",Coastal regions and disturbed areas from sea level to 4500 metres.,S. America - Peru. Naturalized in C. and S. Europe.,(5 of 5),(1 of 5),(0 of 5),,
Solanaceae,Physalis,philadelphica,"Wild Tomatillo, Mexican groundcherry",medium,"[6, 7, 8, 9]",0.6,1-3 feet (30-90 cm),ANNUAL,"Ovate, 2-6 inches long, serrated edges, dark green",July to September,August to October,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerant of poor soil conditions","Not known in a truly wild situation, it is found as a weed of cultivation.",N. America and S. America.,(4 of 5),(1 of 5),(0 of 5),,
Solanaceae,Physalis,virginiana,Virginia Ground Cherry,medium,"[6, 7, 8, 9]",0.6,1-3 feet,PERENNIAL,"Ovate, 2-4 inches long, with a slightly serrated margin","Yellow, bell-shaped, about 1 inch in diameter, with purple markings",Late summer to early fall,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']","Drought-tolerant, tolerates poor soil conditions","Dry sandy or rocky woods, openings and clearings[43]. Rich soils in open woods and prairies[170].","Eastern N. America - Ontario to Manitoba, Connecticut, Florida, Louisiana and Texas.",(2 of 5),(1 of 5),(0 of 5),,
